ID;class;handicapped-infants;water-project-cost-sharing;adoption-of-the-budget-resolution;physician-fee-freeze;el-salvador-aid;religious-groups-in-schools;anti-satellite-test-ban;aid-to-nicaraguan-contras;mx-missile;immigration;synfuels-crporation-cutback;education-spending;superfund-right-to-sue;crime;duty-free-exports;export-administration-act-south-africa
217;democrat;1;1;1;0;1;1;0;0;unknown;1;0;0;0;1;1;unknown
216;democrat;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;unknown
433;republican;0;unknown;0;1;1;1;0;0;0;0;1;1;1;1;0;1
383;democrat;1;1;0;1;1;1;0;0;0;0;1;0;1;1;0;unknown
344;republican;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;1
301;republican;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;1
338;democrat;1;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1
345;democrat;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1
233;democrat;0;1;1;0;0;0;1;1;0;0;1;0;0;0;1;unknown
192;republican;0;1;0;1;1;1;0;unknown;0;1;0;1;1;1;0;unknown
350;republican;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1
23;democrat;1;unknown;1;0;0;0;1;1;1;0;0;unknown;0;0;1;1
174;democrat;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1
124;republican;1;unknown;0;1;1;1;0;1;0;0;0;1;1;1;0;1
354;republican;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1
236;republican;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;1
431;republican;0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;1
139;democrat;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;1
306;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
172;republican;0;unknown;0;1;1;1;0;0;0;1;0;1;1;1;0;1
237;democrat;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1
146;democrat;0;0;1;0;0;1;1;1;1;1;0;0;0;1;unknown;1
401;republican;0;1;0;1;1;1;0;unknown;0;0;unknown;unknown;unknown;1;0;unknown
283;republican;1;0;0;1;1;1;0;0;0;1;0;unknown;1;1;0;0
225;republican;0;1;0;1;1;1;0;0;0;1;0;unknown;1;1;0;0
288;democrat;1;1;1;unknown;0;1;1;1;1;0;1;0;1;0;unknown;1
104;democrat;1;0;0;0;1;1;unknown;0;unknown;0;0;0;0;1;unknown;0
26;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1
142;republican;0;0;0;1;1;1;1;1;1;1;0;1;1;1;unknown;1
292;democrat;1;0;1;0;0;1;1;1;1;1;0;unknown;0;1;0;1
263;democrat;1;0;1;0;0;0;1;1;1;1;0;0;unknown;0;1;1
218;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0
58;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
276;democrat;0;0;1;0;1;1;0;0;0;0;unknown;0;1;1;0;0
199;democrat;0;0;1;0;0;0;1;1;1;1;1;0;unknown;0;1;unknown
333;democrat;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;unknown
290;democrat;1;1;1;0;1;1;0;1;0;1;1;0;1;1;0;unknown
67;republican;0;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1
349;democrat;1;0;1;0;0;0;1;1;1;1;0;1;0;0;1;unknown
392;democrat;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0
157;republican;1;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0
243;republican;0;0;0;0;1;1;1;0;0;0;0;unknown;0;1;1;1
204;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1
311;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0
57;republican;0;1;0;1;1;1;0;0;0;1;1;1;1;1;0;1
246;democrat;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1
81;democrat;1;0;1;0;0;1;1;1;1;1;0;1;0;1;0;unknown
423;democrat;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;1
86;democrat;0;0;1;0;1;1;0;0;0;1;1;1;1;1;0;1
390;democrat;1;0;1;0;0;0;1;1;1;unknown;1;0;0;0;1;unknown
398;democrat;1;1;0;0;1;unknown;0;0;0;0;1;0;1;1;0;1
3;democrat;unknown;1;1;unknown;1;1;0;0;0;0;1;0;1;1;0;0
185;democrat;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1
193;democrat;0;0;0;0;0;1;1;1;1;0;1;0;0;1;1;1
297;republican;0;0;1;1;1;1;0;0;0;1;0;1;1;1;1;1
274;republican;0;0;0;1;1;0;1;1;0;1;0;1;1;1;unknown;1
310;democrat;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1
391;democrat;unknown;unknown;0;0;unknown;1;unknown;0;0;0;1;1;0;1;0;unknown
83;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;1
113;democrat;0;unknown;1;0;0;1;1;1;0;1;0;0;0;0;1;unknown
20;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1
9;republican;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;1
279;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1
386;democrat;1;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0
7;democrat;0;1;0;1;1;1;0;0;0;0;0;0;unknown;1;1;1
415;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1
91;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1
50;republican;0;unknown;0;1;1;1;0;0;0;0;0;1;1;1;0;0
28;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;1
298;democrat;1;1;1;0;0;1;1;1;1;1;0;0;unknown;0;1;unknown
327;democrat;1;1;0;1;0;0;1;1;1;0;1;0;0;1;0;1
215;republican;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
135;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;unknown
377;democrat;1;unknown;1;0;0;0;1;1;1;0;1;0;0;0;1;1
362;democrat;1;0;1;0;1;1;1;0;1;1;0;0;1;1;0;unknown
226;republican;0;unknown;0;1;1;1;0;0;0;0;0;1;1;1;0;1
96;democrat;1;0;1;0;1;1;0;unknown;unknown;0;1;unknown;unknown;unknown;1;1
131;democrat;1;unknown;1;0;unknown;unknown;1;1;1;0;0;0;0;0;1;unknown
427;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1
27;democrat;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1
33;democrat;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1
256;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1
102;democrat;1;0;1;0;1;1;1;0;0;0;1;0;0;1;0;1
46;democrat;1;1;1;0;0;0;1;1;unknown;0;1;0;0;0;1;unknown
35;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1
129;democrat;0;unknown;1;0;0;1;0;1;0;1;1;0;0;0;1;1
388;democrat;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0;unknown
75;democrat;1;0;1;0;0;1;1;1;1;1;1;0;0;1;1;1
47;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1
92;democrat;1;0;1;0;0;0;1;1;1;1;1;0;0;0;1;1
326;democrat;0;1;0;0;1;1;0;0;unknown;0;0;1;1;1;0;1
68;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0
59;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
191;republican;0;unknown;0;1;1;1;0;0;0;0;0;1;1;1;0;unknown
255;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1
372;democrat;1;1;1;0;unknown;0;1;1;1;1;0;0;0;0;1;unknown
339;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;1;1;1
98;democrat;1;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1
95;democrat;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1
198;republican;0;unknown;1;1;1;1;0;0;0;1;0;0;0;1;0;1
77;democrat;0;1;1;0;1;1;0;0;0;1;1;1;1;1;0;unknown
267;republican;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;1
84;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0
222;democrat;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;unknown
272;democrat;0;1;1;0;0;1;1;1;1;0;unknown;0;0;0;0;1
212;republican;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
87;republican;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0
65;democrat;1;1;1;0;0;0;1;1;1;0;1;unknown;0;0;0;1
130;democrat;unknown;unknown;1;0;0;0;1;1;unknown;0;unknown;unknown;unknown;unknown;unknown;unknown
252;republican;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;0
14;democrat;1;1;1;0;0;1;1;1;unknown;1;1;unknown;0;0;1;unknown
73;democrat;1;1;1;0;0;0;1;1;1;0;1;0;0;0;1;unknown
145;democrat;0;unknown;0;0;0;1;1;1;1;1;0;0;0;1;0;unknown
229;republican;0;1;0;1;1;1;0;0;0;0;0;1;1;unknown;0;1
173;democrat;0;1;1;0;0;0;1;1;1;1;0;0;unknown;0;1;1
89;democrat;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1
162;democrat;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1
208;republican;1;unknown;0;1;1;1;1;0;0;1;0;1;1;1;0;1
271;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1
277;republican;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0
420;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1
202;democrat;1;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1
132;democrat;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;1
152;democrat;1;1;unknown;1;1;1;0;0;1;0;1;unknown;1;1;0;0
128;democrat;0;unknown;1;0;0;0;1;1;1;1;1;0;0;1;1;1
126;republican;0;unknown;0;1;1;1;0;0;0;1;0;1;1;1;0;1
416;democrat;0;1;1;0;0;1;1;1;unknown;1;0;0;0;0;0;1
422;democrat;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1
221;democrat;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;unknown
117;democrat;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;1
261;democrat;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;1
151;republican;1;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1
165;democrat;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;unknown
375;republican;0;1;0;1;1;1;0;0;0;0;0;1;1;1;0;1
144;democrat;unknown;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1
93;democrat;1;1;1;0;0;0;1;1;0;1;1;0;0;unknown;1;1
291;democrat;1;0;1;0;unknown;1;unknown;1;1;1;0;0;1;1;0;1
